-0.90388,4.8036,-0.88911,4.5967
-0.88911,4.5967,-0.90388,4.4194
-0.90388,4.4194,-0.90388,4.1386
-0.90388,4.1386,-0.88911,3.9317
-0.88911,3.9317,-0.94822,3.6805
-0.94822,3.6805,-0.97777,3.3849
-0.97777,3.3849,-0.96299,3.2223
-0.96299,3.2223,-0.96299,3.0302
-0.96299,3.0302,-0.94822,2.8972
-0.94822,2.8972,-0.93344,2.7051
-2.83979,5.35036,-2.79545,5.04003
-2.7955,5.04,-2.8102,4.7888
-2.8102,4.7888,-2.8102,4.6262
-2.8102,4.6262,-2.8102,4.3898
-2.8102,4.3898,-2.8102,4.1534
-2.8102,4.1534,-2.8693,3.7839
-2.8693,3.7839,-2.8546,3.5918
-2.8546,3.5918,-2.8398,3.2962
-2.8398,3.2962,-2.8398,3.0598
-2.8398,3.0598,-2.8398,2.7199
-2.8398,2.7199,-2.8398,2.3948
-2.8398,2.3948,-2.8398,1.981
-2.8398,1.981,-2.8102,1.6559
-2.8102,1.6559,-2.7216,1.3603
-2.7216,1.3603,-2.6477,1.1091
-2.6477,1.1091,-2.5442,0.79877
-2.5442,0.79877,-2.4703,0.53277
-2.4703,0.53277,-2.3226,0.3111
-2.3226,0.3111,-2.1748,0.1781
-2.1748,0.1781,-2.0713,-0.087904
-2.0713,-0.087904,-1.7906,-0.33913
-1.7906,-0.33913,-1.5984,-0.51646
-1.5984,-0.51646,-1.3177,-0.72335
-1.3177,-0.72335,-1.0664,-0.79724
-1.0664,-0.79724,-0.84477,-0.94502
-0.84477,-0.94502,-0.46055,-1.078
-0.46055,-1.078,-0.13543,-1.1815
-0.13543,-1.1815,0.18968,-1.1815
0.18968,-1.1815,0.60346,-1.1815
0.60346,-1.1815,1.2389,-1.1519
1.2389,-1.1519,1.5197,-1.0928
1.5197,-1.0928,2.0074,-0.91547
2.0074,-0.91547,2.4211,-0.73813
2.4211,-0.73813,2.761,-0.39824
2.761,-0.39824,3.0566,-0.20613
3.0566,-0.20613,3.3078,0.13376
3.3078,0.13376,3.559,0.38499
3.559,0.38499,3.8103,0.96133
3.8103,0.96133,3.8989,1.4047
3.8989,1.4047,3.9433,1.9958
3.9433,1.9958,3.7807,2.4539
3.7807,2.4539,3.6477,2.7347
3.6477,2.7347,3.4999,3.1485
3.4999,3.1485,3.2487,3.4588
3.2487,3.4588,3.0861,3.7987
3.0861,3.7987,2.761,4.1534
2.761,4.1534,2.5541,4.5671
2.5541,4.5671,2.4064,4.8775
2.4064,4.8775,2.4064,5.3504
2.4064,5.3504,2.4719,5.7972
2.4719,5.7972,2.6245,6.1598
2.6245,6.1598,2.7772,6.5224
